disaster_no,disaster_subtype,location,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,total_affected,total_damage ('000 US$),flood_duration
2019-0226-MYS,Flood (General),"Belaga district (Kapit division, Northern and central Sarawak State)",,,2019,6,2,2019,6,6,,1000,,4
2021-0686-MYS,Flash flood,"Kedah, Malacca, Negeri Sembilan, Selangor States, Kuala Lumpur Federal Territory",,,2021,10,20,2021,10,22,,1000,,2
2022-0810-MYS,Flood (General),"Kelantan, Terengganu, Pahang, Johor, Perak states",,,2022,12,17,2022,12,21,8,60000,,4
2016-0489-MYS,Flood (General),Terengganu province,5.122,102.56,2016,11,28,2016,12,7,,400,,9
2021-0400-MYS,Flood (General),Beaufort and Tenom districts (Sabah state); Sarawak state; Melaka state,,,2021,5,20,2021,6,3,,5782,,14
2015-0021-MYS,Riverine flood,Sarawak province,,,2015,1,14,2015,1,20,1,3000,,6
2025-0062-MYS,Flood (General),Sabah and Sarawak states,,,2025,1,28,2025,1,30,5,12500,,2
2016-0516-MYS,Flood (General),"Bachok, Gua Musang, Jeli, Kota Bahru, Machang, Pasir Mas, Pasir Puteh, Tanah Merah, Tumpat, Kuala Krai districts (Kelantan state); Besut, Setiu, Hulu Terengganu, Marang, Dungun, Kemaman (Terengganu state); Kuala Kangsar (Perak state); Pahang; Johor; Sabah; Selangor",4.7,102.411,2016,12,26,2017,1,23,,25000,132000,28
2023-0120-MYS,Flood (General),"Johor, Pahang, Malacca, and Negeri Sembilan",,,2023,2,28,2023,3,2,4,46630,,2
2013-0535-MYS,Riverine flood,"Kuala Lumpur, Pahang, Terengganu, Johor, Kelantan provinces",3.58444,102.36,2013,12,1,2013,12,8,4,75000,2000,7
2011-0020-MYS,Riverine flood,Johor province,-4.05208,104.67,2011,1,28,2011,1,31,2,20000,,3
2025-0116-MYS,Flood (General),Pahang and Negeri Sembilan states,,,2025,2,19,2025,2,20,,251,,1
2020-0414-MYS,Flood (General),"Kota Kinabalu, Kota Belud, Tuaran, Telipok Districts (Sabah State)",,,2020,10,9,2020,10,9,,400,,1
2020-0289-MYS,Flood (General),"Pontian, Batu Pahat, Muar, Kluang,Tangkak Districts (Johor State)",24.561,103.055,2020,6,20,2020,6,25,,1210,,5
2017-0477-MYS,Flood (General),"Penang, Kedah, Perak",5.247,101.026,2017,11,3,2017,11,8,7,3500,,5
2022-0131-MYS,Flood (General),"Kuala Lumpur, Melaka, Negeri Sembilan; Gombak, Hulu Langat, Kuala Langat, Petaling and Sepang (Selangor)",,,2022,3,6,2022,3,7,,1290,,1
2017-0516-MYS,Riverine flood,"Kelantan (Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli) and Terengganu (Besut, Kuala Terengganu, Marang, Dungun, Setiu, Kuala Nerus)",,,2017,11,25,2017,12,3,2,13000,,8
2020-0272-MYS,Flood (General),"Tenom, Kota Belud, Papar, Beaufort, Penampang Districts (Sabah State); Baram, Marudi, Long Lama, Lawas, Limbang districts (Sarawak State)",,,2020,6,27,2020,7,1,,9000,6800,4
2021-0524-MYS,Flash flood,"Yan, Kuala Muda and Bandar Baharu districts (Kedah state)",,,2021,8,17,2021,8,19,7,4828,,2
2022-0732-MYS,Flood (General),"Kelantan, Pahang, Pulau Pinang, Perak, Selangor, Melaka, and Johor in the Malay Peninsula and Sabah State on Borneo Island",,,2022,11,8,2022,11,15,,3107,,7
2023-0729-MYS,Flood (General),"Selangor, Perak, and Pahang states",,,2023,11,5,2023,11,8,,881,,3
2023-0041-MYS,Flood (General),"Johor, Pahang, and Sabah States",,,2023,1,20,2023,1,27,,11000,,7
2025-0791-MYS,Flash flood,Sarawak and Sabah states (Borneo Island),,,2025,9,8,2025,9,15,13,3134,,7
2022-0408-MYS,Flood (General),Baling District (eastern Kedah State),,,2022,7,4,2022,7,7,3,228,,3
2014-0494-MYS,Riverine flood,"Sabah, Kelantan, Pahang, Terengganu, Perak, Johor, Selangor, Perlis provinces",,,2014,12,16,2014,12,30,17,230000,284000,14
2025-0996-MYS,Flash flood,"Sabah, Sarawak Kelantan, Perlis, Perak, Selangor, Kedah, Penang, Terengganu, and Pahang states",,,2025,11,22,2025,12,3,3,18700,,11
2021-0015-MYS,Flood (General),"Beaufort, Kota Marudu, Kudat, Pitas (Sabah State, Borneo's East Malaysia); Serian, Samarahan, Miri, Kuching (Sarawak state)",,,2021,1,11,2021,1,13,,6000,,2
2019-0523-MYS,Flood (General),Peninsular malaysia,,,2019,10,26,2019,10,27,,2412,,1
2023-0854-MYS,Flood (General),"Johor, Kelantan, Pahang, Sabah, and Terengganu states",,,2023,12,22,2023,12,25,2,25676,,2
2017-0224-MYS,Flood (General),"7 states in Peninsular Malaysia (Kelantan, Terengganu, Johor, Pahang, Malacca, Selangor, Perak, Sabah)",3.932,102.461,2017,1,23,2017,2,7,,5481,,15
2025-0172-MYS,Flood (General),"Tenom, Beaufort, Membakut, and Soo (Sabah, northern Borneo Island)",,,2025,3,8,2025,3,12,,4555,,4
2021-0591-MYS,Flood (General),"Kota Kinabalu, Penampang and Putatan Districts (Sabah state) ; Johor, Sarawak states",,,2021,9,7,2021,9,17,2,255,,10
2018-0063-MYS,Flash flood,"Samarahan, Bintulu, Serian, Mukah, Limbang, Sarikei (Sarawak State)",3.133,3.659,2018,2,3,2018,2,12,,4900,,9
2018-0068-MYS,Flood (General),"Kuantan, Rompin, Pekan, Jerantut, Lipis, Bera districts (Pahang state), Johor, Terengganu states",3.659,102.337,2018,1,1,2018,1,5,2,12000,,4
2021-0821-MYS,Flash flood,"Pahang, Selangor, Terengganu, Kelantan, Johor, Malacca, Negeri Sembilan, Sabah, Perak and the Federal Territory of Kuala Lumpur",,,2021,12,17,2022,1,3,56,120000,1460000,17
2019-0578-MYS,Flood (General),"Johor state; Kota Bharu, Pasir Mas, Tumpat, Bachok, Tanah Merah, Pasir Puteh, Kuala Krai, Machang, Jeli districts (Kelantan state); Pahang state; Marang, Dungun, Kemaman, Hulu Terengganu, Setiu, Besut, Kuala Nerus districts (Terengganu state)",4.415,102.584,2019,11,30,2019,12,6,2,15000,,6
2016-0307-MYS,Flood (General),"Yan, Baling districts (Kedah province), Penang city (Timur Laut district, Pulau Pinang province)",,,2016,7,18,2016,7,19,,441,,1
2020-0559-MYS,Riverine flood,"Terengganu, Kelantan, Pahang",,,2020,12,20,2020,12,21,,9273,,1
2016-0057-MYS,Flood (General),"Johor, Melaka, Negri Sembilan, Sarawak province",,,2016,2,19,2016,2,24,,6000,,5
2022-0119-MYS,Flood (General),"Kelantan, Pahang, and Terengganu",,,2022,2,25,2022,2,28,6,26000,240,3
2020-0160-MYS,Flood (General),Sarawak State (north-west Borneo Island),,,2020,4,25,2020,4,29,,2000,,4
2021-0028-MYS,Flood (General),"Johor, Pahang, Terengganu, Sabah, Kelantan, Selangor, Perak states",,,2021,1,2,2021,1,8,8,23776,,6
2019-0631-MYS,Flood (General),"Terengganu, Kelantan",,,2019,12,18,2019,12,19,,4065,,1
2025-0194-MYS,Flood (General),"Johor Bahru, Kulai, Pontian, Kota Tinggi, Kluang, Batu Pahat, and Iskandar Puteri (Johor state); Sabah and Sarawak states",,,2025,3,20,2025,3,21,,11071,,1
2025-1047-MYS,Flood (General),Terengganu and Pahang,,,2025,12,14,2025,12,17,,2103,,3
2021-0008-MYS,Flood (General),"Serian, Samarahan, Miri, Kuching districts (Sarawak State)",,,2021,1,12,2021,1,15,6,3000,,3
