disaster_no,state,start_year,start_month,latitude,longitude,affected_by_state
2019-0226-MYS,Sarawak,2019,6,2.90,111.00,1000
2021-0686-MYS,Kedah,2021,10,6.15,100.55,200
2021-0686-MYS,Melaka,2021,10,2.30,102.30,200
2021-0686-MYS,Negeri Sembilan,2021,10,2.75,102.15,200
2021-0686-MYS,Selangor,2021,10,3.35,101.35,200
2021-0686-MYS,Kuala Lumpur,2021,10,3.1390,101.6869,200
2022-0810-MYS,Kelantan,2022,12,5.15,102.15,12000
2022-0810-MYS,Terengganu,2022,12,4.85,103.15,12000
2022-0810-MYS,Pahang,2022,12,3.75,102.55,12000
2022-0810-MYS,Johor,2022,12,2.00,103.55,12000
2022-0810-MYS,Perak,2022,12,4.80,101.00,12000
2016-0489-MYS,Terengganu,2016,11,4.85,103.15,400
2021-0400-MYS,Sabah,2021,5,5.25,114.20,1927.33
2021-0400-MYS,Sarawak,2021,5,2.90,111.00,1927.33
2021-0400-MYS,Melaka,2021,5,2.30,102.30,1927.33
2015-0021-MYS,Sarawak,2015,1,2.90,111.00,3000
2025-0062-MYS,Sabah,2025,1,5.25,114.20,6250
2025-0062-MYS,Sarawak,2025,1,2.90,111.00,6250
2016-0516-MYS,Kelantan,2016,12,5.15,102.15,3571.43
2016-0516-MYS,Terengganu,2016,12,4.85,103.15,3571.43
2016-0516-MYS,Perak,2016,12,4.80,101.00,3571.43
2016-0516-MYS,Pahang,2016,12,3.75,102.55,3571.43
2016-0516-MYS,Johor,2016,12,2.00,103.55,3571.43
2016-0516-MYS,Sabah,2016,12,5.25,114.20,3571.43
2016-0516-MYS,Selangor,2016,12,3.35,101.35,3571.43
2023-0120-MYS,Johor,2023,2,2.00,103.55,11657.5
2023-0120-MYS,Pahang,2023,2,3.75,102.55,11657.5
2023-0120-MYS,Melaka,2023,2,2.30,102.30,11657.5
2023-0120-MYS,Negeri Sembilan,2023,2,2.75,102.15,11657.5
2013-0535-MYS,Kuala Lumpur,2013,12,3.1390,101.6869,15000
2013-0535-MYS,Pahang,2013,12,3.75,102.55,15000
2013-0535-MYS,Terengganu,2013,12,4.85,103.15,15000
2013-0535-MYS,Johor,2013,12,2.00,103.55,15000
2013-0535-MYS,Kelantan,2013,12,5.15,102.15,15000
2011-0020-MYS,Johor,2011,1,2.00,103.55,20000
2025-0116-MYS,Pahang,2025,2,3.75,102.55,125.5
2025-0116-MYS,Negeri Sembilan,2025,2,2.75,102.15,125.5
2020-0414-MYS,Sabah,2020,10,5.25,114.20,400
2020-0289-MYS,Johor,2020,6,2.00,103.55,1210
2017-0477-MYS,Penang,2017,11,5.40,100.25,1166.67
2017-0477-MYS,Kedah,2017,11,6.15,100.55,1166.67
2017-0477-MYS,Perak,2017,11,4.80,101.00,1166.67
2022-0131-MYS,Kuala Lumpur,2022,3,3.1390,101.6869,322.5
2022-0131-MYS,Melaka,2022,3,2.30,102.30,322.5
2022-0131-MYS,Negeri Sembilan,2022,3,2.75,102.15,322.5
2022-0131-MYS,Selangor,2022,3,3.35,101.35,322.5
2017-0516-MYS,Kelantan,2017,11,5.15,102.15,6500
2017-0516-MYS,Terengganu,2017,11,4.85,103.15,6500
