state,living_quarters_total,living_quarters_2024,living_quarters_2025,vehicles_2024,vehicles_2025,business_2024,business_2025,manufacturing_2024,manufacturing_2025,agriculture_2024,agriculture_2025,infrastructure_2024,infrastructure_2025,total_loss_2024,total_loss_2025,total_loss_combined
Johor,1017727,21280000,26189000,2072000,874000,3434000,2143000,0,0,2433000,13010000,29748000,29843000,58968000,72059000,131027000
Kedah,528228,54013000,9774000,2095000,417000,4291000,1322000,0,0,118210000,5040000,15053000,20113000,193662000,36666000,230328000
Kelantan,363251,139015000,15618000,3984000,498000,27066000,899000,1091000,0,43788000,4384000,48089000,67140000,263033000,88538000,351571000
Melaka,267074,1048000,729000,82000,44000,63000,22000,0,0,472000,512000,7249000,12901000,8913000,14208000,23121000
Negeri Sembilan,315497,,2922000,840000,77000,40000,62000,30000,0,0,1210000,2623000,16181000,12902000,20451000,16436000,36887000
Pahang,401534,10961000,18776000,892000,702000,393000,1307000,0,0,8807000,4289000,16220000,19046000,37273000,44119000,81392000
Penang,495347,887000,849000,73000,61000,34000,10000,0,0,63000,2593000,7661000,8742000,8718000,12254000,20972000
Perak,672855,12172000,15337000,720000,615000,637000,844000,0,0,312000,4479000,43398000,15378000,57239000,36653000,93892000
Perlis,80850,530000,5207000,203000,211000,248000,366000,0,0,176000,1222000,3988000,22995000,5144000,30001000,35145000
Selangor,1836410,6629000,15288000,271000,359000,0,1049000,0,0,1887000,9582000,13778000,26585000,22576000,52863000,75439000
Terengganu,282373,103128000,14947000,5814000,430000,16427000,858000,72000,76000,6661000,1012000,49855000,71849000,181957000,89172000,271129000
Sabah,594163,17318000,27709000,688000,1254000,1237000,1823000,0,0,684000,3649000,16914000,23982000,36840000,58417000,95257000
Sarawak,618108,2199000,32554000,192000,806000,168000,2686000,0,0,518000,164000,24280000,25025000,27357000,61234000,88591000
Kuala Lumpur,573529,61000,0,125000,522000,0,90000,0,0,0,0,7960000,20148000,8146000,20759000,28905000
Labuan,0,69000,0,0,0,0,0,0,0,0,0,2300000,2254000,2369000,2254000,4623000
Putrajaya,0,0,0,10000,0,0,0,0,0,0,0,697000,1279000,707000,1279000,1986000
