state,meteorological_station ,year,max_temperature_celcius,rainfall_mm,rainy_days
Johor,Senai,2000,32.3,2388.3,205.0
Johor,Kluang,2000,32.0,2198.3,200.0
Kedah,Alor Setar,2000,32.5,2009.0,185.0
Kedah,Pulau Langkawi,2000,32.0,2299.2,173.0
Kelantan,Kota Bharu,2000,31.6,3659.5,161.0
Kelantan,Kuala Krai,2000,32.3,2364.9,193.0
Melaka,Melaka,2000,32.0,2156.7,170.0
Pahang,Kuantan,2000,31.9,2867.4,197.0
Pahang,Cameron Highlands,2000,22.7,3172.0,241.0
Perak,Ipoh,2000,32.9,2990.3,193.0
Perak,Sitiawan,2000,32.4,1618.0,185.0
Perlis,Chuping  ,2000,32.8,1947.0,197.0
Penang,Bayan Lepas,2000,31.5,2653.2,190.0
Penang,Butterworth,2000,31.9,2506.2,184.0
Sabah,Kota Kinabalu,2000,31.8,2973.4,231.0
Sabah,Kudat,2000,31.3,2027.3,187.0
Sabah,Sandakan,2000,31.2,3261.2,218.0
Sabah,Tawau,2000,31.3,2036.6,210.0
Sarawak,Kuching,2000,31.7,4299.4,254.0
Sarawak,Miri ,2000,31.2,2998.2,190.0
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",2000,32.0,2166.3,186.0
Selangor,Subang,2000,32.8,2811.5,206.0
Terengganu,Kuala Terengganu,2000,31.7,3187.0,171.0
Labuan,Labuan,2000,31.0,3678.1,216.0
Johor,Senai,2001,32.1,2531.9,215.0
Johor,Kluang,2001,32.0,1809.9,191.0
Kedah,Alor Setar,2001,32.7,1673.4,180.0
Kedah,Pulau Langkawi,2001,32.3,2432.5,179.0
Kelantan,Kota Bharu,2001,31.5,2556.7,166.0
Kelantan,Kuala Krai,2001,32.6,2563.0,190.0
Melaka,Melaka,2001,31.9,2220.1,190.0
Pahang,Kuantan,2001,31.9,3739.4,208.0
Pahang,Cameron Highlands,2001,23.0,2631.7,234.0
Perak,Ipoh,2001,32.9,2422.7,202.0
Perak,Sitiawan,2001,32.5,1497.4,189.0
Perlis,Chuping  ,2001,32.8,1789.4,185.0
Penang,Bayan Lepas,2001,31.6,2334.7,189.0
Penang,Butterworth,2001,32.1,2237.9,195.0
Sabah,Kota Kinabalu,2001,31.7,3155.9,221.0
Sabah,Kudat,2001,31.4,3123.9,199.0
Sabah,Sandakan,2001,31.5,3563.7,197.0
Sabah,Tawau,2001,31.2,1755.9,189.0
Sarawak,Kuching,2001,31.8,3786.0,251.0
Sarawak,Miri ,2001,31.2,2989.1,203.0
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",2001,32.3,2210.9,214.0
Selangor,Subang,2001,32.8,2651.5,212.0
Terengganu,Kuala Terengganu,2001,31.9,2580.4,166.0
Labuan,Labuan,2001,31.1,3652.6,222.0
Johor,Senai,2002,31.7,2616.2,186.0
Johor,Kluang,2002,32.7,1860.0,175.0
Kedah,Alor Setar,2002,33.1,2193.6,162.0
Kedah,Pulau Langkawi,2002,32.9,2135.6,168.0
Kelantan,Kota Bharu,2002,31.8,2230.9,149.0
Kelantan,Kuala Krai,2002,32.9,1542.8,176.0
Melaka,Melaka,2002,32.8,2082.3,158.0
Pahang,Kuantan,2002,32.4,2536.8,173.0
Pahang,Cameron Highlands,2002,23.3,2816.6,203.0
Perak,Ipoh,2002,33.7,1987.8,168.0
Perak,Sitiawan,2002,32.9,1653.2,146.0
Perlis,Chuping  ,2002,33.1,1902.6,156.0
